"iso","country","age","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys"
40,"Austria","20-64",262.45345050269,182648,269.41,4700,12.16,1.02650584126056,12.4823110297284
56,"Belgium","20-64",262.45345050269,182648,275.3,5002,11.95,1.04894791618363,12.5349275983944
124,"Canada","20-64",262.45345050269,182648,273.58,24462,13.29,1.04239437308216,13.8534212182618
152,"Chile","20-64",262.45345050269,182648,218.59,4789,11.32,0.832871503808862,9.42810542311631
196,"Cyprus","20-64",262.45345050269,182648,269.35,4750,13.01,1.0262772292919,13.3518667530876
203,"Czech Republic","20-64",262.45345050269,182648,273.92,5377,13.02,1.04368984090454,13.5888417285771
208,"Denmark","20-64",262.45345050269,182648,270.74,6812,12.6,1.03157340656577,12.9978249227287
218,"Ecuador","20-64",262.45345050269,182648,194.8,4996,9.4,0.742226858236727,6.97693246742524
233,"Estonia","20-64",262.45345050269,182648,275.42,7087,13.27,1.04940514012094,13.9256062094049
246,"Finland","20-64",262.45345050269,182648,287.47,5042,13.03,1.09531804382604,14.2719941110533
250,"France","20-64",262.45345050269,182648,261.34,6457,12.14,0.995757531476316,12.0884964321225
276,"Germany","20-64",262.45345050269,182648,269.35,4954,13.73,1.0262772292919,14.0907863581778
300,"Greece","20-64",262.45345050269,182648,253.42,4693,11.78,0.965580751613714,11.3745412540095
348,"Hungary","20-64",262.45345050269,182648,263.74,5779,12.41,1.00490201022256,12.470833946862
372,"Ireland","20-64",262.45345050269,182648,266.48,5646,12.63,1.01534195679119,12.8237689142727
376,"Israel","20-64",262.45345050269,182648,254.13,4903,11.86,0.968285993242811,11.4838718798597
380,"Italy","20-64",262.45345050269,182648,249.2,4398,11.94,0.949501709818236,11.3370504152297
392,"Japan","20-64",262.45345050269,182648,296.31,4902,13.81,1.12900020720803,15.5914928615429
398,"Kazakhstan","20-64",262.45345050269,182648,249.27,5711,11.31,0.949768423781668,10.7418808729707
410,"Republic of Korea","20-64",262.45345050269,182648,270.85,6097,12.9,1.0319925285083,13.3127036177571
440,"Lithuania","20-64",262.45345050269,182648,266.07,4824,13.48,1.01377977500537,13.6657513670724
484,"Mexico","20-64",262.45345050269,182648,220.3,5651,9.32,0.83938694491556,7.82308632661302
528,"Netherlands","20-64",262.45345050269,182648,283.69,4741,12.42,1.0809154898007,13.4249703833247
554,"New Zealand","20-64",262.45345050269,182648,281.16,5560,13.52,1.07127568512237,14.4836472628545
578,"Norway","20-64",262.45345050269,182648,279.45,4630,13.1,1.06476024401567,13.9483591966053
604,"Peru","20-64",262.45345050269,182648,193.22,6603,10.22,0.736206743062117,7.52403291409484
616,"Poland","20-64",262.45345050269,182648,265.77,8302,13.04,1.01263671516209,13.2047827657136
643,"Russian Federation","20-64",262.45345050269,182648,275.36,3453,10.87,1.04917652815229,11.4045488610153
702,"Singapore","20-64",262.45345050269,182648,254.99,4960,12.64,0.971562764793548,12.2805533469904
703,"Slovakia","20-64",262.45345050269,182648,273.92,5230,13.25,1.04368984090454,13.8288903919852
705,"Slovenia","20-64",262.45345050269,182648,255.31,4960,12.2,0.97278202862638,11.8679407492418
724,"Spain","20-64",262.45345050269,182648,251.32,5585,11.47,0.957579332710751,10.9834349461923
752,"Sweden","20-64",262.45345050269,182648,279.93,4080,12.77,1.06658913976492,13.6203433147981
792,"Turkey","20-64",262.45345050269,182648,225.39,4934,9.21,0.85878086025655,7.90937172296283
826,"United Kingdom of Great Britain and Northern Ireland","20-64",262.45345050269,182648,273.42,8392,13.26,1.04178474116574,13.8140656678577
840,"United States of America","20-64",262.45345050269,182648,270.29,4659,12.89,1.02985881680085,13.2748801485629
